PROGRES PENDATAAN - USAHA KELUARGA,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,
,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),JUMLAH USAHA KELUARGA MENURUT STATUS KEBERADAAN USAHA,,,,,Jumlah Usaha dalam Keluarga
,,Ditemukan,Tutup,Ganda,Tidak Ditemukan,Baru,
-1,-2,-3,-4,-5,-6,-7,-8
"6,10408E+15",RT 001 RW 008 DUSUN ALIANYANG,0,0,0,0,0,0
61040800020039,RT 002 RW 008 DUSUN ALIANYANG,8,2,0,0,1,9
"6,10408E+15",RT 002 RW 008 DUSUN ALIANYANG,8,2,0,0,1,9
61040800020040,RT 003 RW 008 DUSUN ALIANYANG,12,14,0,0,5,17
"6,10408E+15",RT 003 RW 008 DUSUN ALIANYANG,12,14,0,0,5,17
61040800020041,RT 001 RW 009 DUSUN ALIANYANG,16,9,0,1,2,18
"6,10408E+15",RT 001 RW 009 DUSUN ALIANYANG,16,9,0,1,2,18
61040800020042,RT 002 RW 009 DUSUN ALIANYANG,18,17,0,6,0,18
"6,10408E+15",RT 002 RW 009 DUSUN ALIANYANG,18,17,0,6,0,18
61040800020043,RT 003 RW 009 DUSUN ALIANYANG,24,9,0,5,1,25
"6,10408E+15",RT 003 RW 009 DUSUN ALIANYANG,24,9,0,5,1,25
61040800020044,RT 001 RW 017 DUSUN SULTAN MUHAMMAD,40,8,1,6,4,44
"6,10408E+15",RT 001 RW 017 DUSUN SULTAN MUHAMMAD,40,8,1,6,4,44
61040800020045,RT 002 RW 017 DUSUN SULTAN MUHAMMAD,13,13,0,5,4,17
"6,10408E+15",RT 002 RW 017 DUSUN SULTAN MUHAMMAD,13,13,0,5,4,17
61040800020046,RT 001 RW 018 DUSUN SULTAN MUHAMMAD,6,5,0,0,4,10
"6,10408E+15",RT 001 RW 018 DUSUN SULTAN MUHAMMAD,6,5,0,0,4,10
61040800020047,RT 002 RW 018 DUSUN SULTAN MUHAMMAD,44,13,0,9,6,50
"6,10408E+15",RT 002 RW 018 DUSUN SULTAN MUHAMMAD,44,13,0,9,6,50
61040800020048,RT 001 RW 010 DUSUN RADEN TAUFIK,9,3,0,4,8,17
"6,10408E+15",RT 001 RW 010 DUSUN RADEN TAUFIK,9,3,0,4,8,17
61040800020049,RT 002 RW 010 DUSUN RADEN TAUFIK,6,3,1,0,4,10
"6,10408E+15",RT 002 RW 010 DUSUN RADEN TAUFIK,6,3,1,0,4,10
61040800020050,RT 003 RW 010 DUSUN RADEN TAUFIK,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 010 DUSUN RADEN TAUFIK,0,0,0,0,0,0
61040800020051,RT 004 RW 010 DUSUN RADEN TAUFIK,8,1,1,13,7,15
"6,10408E+15",RT 004 RW 010 DUSUN RADEN TAUFIK,8,1,1,13,7,15
61040800020052,RT 005 RW 010 DUSUN RADEN TAUFIK,3,1,0,0,0,3
"6,10408E+15",RT 005 RW 010 DUSUN RADEN TAUFIK,3,1,0,0,0,3
61040800020053,RT 001 RW 011 DUSUN RADEN TAUFIK,27,15,0,8,1,28
"6,10408E+15",RT 001 RW 011 DUSUN RADEN TAUFIK,27,15,0,8,1,28
61040800020054,RT 002 RW 11 DUSUN RADEN TAUFIK,29,4,1,1,3,32
"6,10408E+15",RT 002 RW 11 DUSUN RADEN TAUFIK,29,4,1,1,3,32
61040800020055,RT 001 RW 01 DUSUN RAHADI USMAN,1,4,0,0,1,2
"6,10408E+15",RT 001 RW 01 DUSUN RAHADI USMAN,1,4,0,0,1,2
61040800020056,RT 002 RW 01 DUSUN RAHADI USMAN,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 01 DUSUN RAHADI USMAN,0,0,0,0,0,0
61040800020057,RT 003 RW 01 DUSUN RAHADI USMAN,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 01 DUSUN RAHADI USMAN,0,0,0,0,0,0
61040800020058,RT 001 RW 15 DUSUN RAHADI USMAN,6,10,0,0,4,10
"6,10408E+15",RT 001 RW 15 DUSUN RAHADI USMAN,6,10,0,0,4,10
61040800020059,RT 002 RW 15 DUSUN RAHADI USMAN,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 15 DUSUN RAHADI USMAN,0,0,0,0,0,0
61040800020060,RT 003 RW 15 DUSUN RAHADI USMAN,7,16,0,6,1,8
"6,10408E+15",RT 003 RW 15 DUSUN RAHADI USMAN,7,16,0,6,1,8
61040800020061,RT 004 RW 15 DUSUN RAHADI USMAN,0,0,0,0,0,0
"6,10408E+15",RT 004 RW 15 DUSUN RAHADI USMAN,0,0,0,0,0,0
61040800020062,RT 005 RW 15 DUSUN RAHADI USMAN,0,0,0,0,0,0
"6,10408E+15",RT 005 RW 15 DUSUN RAHADI USMAN,0,0,0,0,0,0
61040800020063,RT 001 RW 20 DUSUN RADEN WIJAYA,28,24,0,0,9,37
"6,10408E+15",RT 001 RW 20 DUSUN RADEN WIJAYA,28,24,0,0,9,37
61040800020064,RT 002 RW 20 DUSUN RADEN WIJAYA,41,9,0,0,10,51
"6,10408E+15",RT 002 RW 20 DUSUN RADEN WIJAYA,41,9,0,0,10,51
61040800020065,RT 001 RW 21 DUSUN RADEN WIJAYA,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 21 DUSUN RADEN WIJAYA,0,0,0,0,0,0
61040800020066,RT 002 RW 21 DUSUN RADEN WIJAYA,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 21 DUSUN RADEN WIJAYA,0,0,0,0,0,0
61040800020067,RT 001 RW 22 DUSUN RADEN WIJAYA,0,0,0,0,0,0
