PROGRES PENDATAAN - USAHA/PERUSAHAAN,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Jumlah Prelist Usaha,JUMLAH USAHA BKU MENURUT STATUS KEBERADAAN USAHA,,,,,,,,,,Jumlah Usaha BKU,Persentase Usaha BKU
,,,Ditemukan,Persentase Ditemukan,Tutup,Persentase Tutup,Ganda,Persentase Ganda,Tidak Ditemukan,Persentase Tidak Ditemukan,Baru,Persentase Baru,,
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
"6,10408E+15",RT 003 RW 014 DUSUN URAI BAWADI,2,0,0,0,0,0,0,0,0,0,0,0,0
61040800020012,RT 001 RW 006 DUSUN PANGERAN ADIPATI,8,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 006 DUSUN PANGERAN ADIPATI,8,0,0,0,0,0,0,0,0,0,0,0,0
61040800020013,RT 002 RW 006 DUSUN PANGERAN ADIPATI,1,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 006 DUSUN PANGERAN ADIPATI,1,0,0,0,0,0,0,0,0,0,0,0,0
61040800020014,RT 003 RW 006 DUSUN PANGERAN ADIPATI,6,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 006 DUSUN PANGERAN ADIPATI,6,0,0,0,0,0,0,0,0,0,0,0,0
61040800020015,RT 001 RW 012 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0,0,0,0,2,0,2,0
"6,10408E+15",RT 001 RW 012 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0,0,0,0,2,0,2,0
61040800020016,RT 002 RW 012 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 012 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020017,RT 003 RW 012 DUSUN PANGERAN ADIPATI,2,0,0,0,0,0,0,1,50,0,0,0,0
"6,10408E+15",RT 003 RW 012 DUSUN PANGERAN ADIPATI,2,0,0,0,0,0,0,1,50,0,0,0,0
61040800020018,RT 004 RW 012 DUSUN PANGERAN ADIPATI,1,0,0,0,0,0,0,0,0,3,300,3,300
"6,10408E+15",RT 004 RW 012 DUSUN PANGERAN ADIPATI,1,0,0,0,0,0,0,0,0,3,300,3,300
61040800020019,RT 005 RW 012 DUSUN PANGERAN ADIPATI,0,0,0,0,0,0,0,0,0,0,0,0,0
