PROGRES PEMUTAKHIRAN KELUARGA - KELUARGA,,,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.16 | Dicetak: 20 Jul 2026, 20.23",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Prelist Awal,Ditemukan,Persentase Ditemukan,Keluarga Baru,Meninggal,Persentase Meninggal,Tidak Eligible,Persentase Tidak Eligible,Tidak Dapat Ditemui Sampai Akhir Pendataan,Persentase Tidak Dapat Ditemui Sampai Akhir Pendataan,Tidak Ditemukan,Persentase Tidak Ditemukan,Keluarga Khusus,Total Hasil Pendataan ((4) + (5)),Persentase Total Hasil Pendataan ((4) + (5))
6104080002002500,RT 003 RW 013 DUSUN SULTAN ABDURRAHMAN,81,55,"67,9",9,2,"2,47",0,0,0,0,24,"29,63",0,64,"79,01"
61040800020026,RT 004 RW 013 DUSUN SULTAN ABDURRAHMAN,56,43,"76,79",4,3,"5,36",0,0,0,0,10,"17,86",0,47,"83,93"
6104080002002600,RT 004 RW 013 DUSUN SULTAN ABDURRAHMAN,56,43,"76,79",4,3,"5,36",0,0,0,0,10,"17,86",0,47,"83,93"
61040800020027,RT 005 RW 013 DUSUN SULTAN ABDURRAHMAN,47,36,"76,6",2,1,"2,13",0,0,0,0,10,"21,28",0,38,"80,85"
6104080002002700,RT 005 RW 013 DUSUN SULTAN ABDURRAHMAN,47,36,"76,6",2,1,"2,13",0,0,0,0,10,"21,28",0,38,"80,85"
61040800020028,RT 001 RW 005 DUSUN PANGSUMA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002002800,RT 001 RW 005 DUSUN PANGSUMA,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020029,RT 002 RW 005 DUSUN PANGSUMA,40,5,"12,5",0,1,"2,5",0,0,0,0,7,"17,5",0,5,"12,5"
6104080002002900,RT 002 RW 005 DUSUN PANGSUMA,40,5,"12,5",0,1,"2,5",0,0,0,0,7,"17,5",0,5,"12,5"
61040800020030,RT 003 RW 005 DUSUN PANGSUMA,67,37,"55,22",8,1,"1,49",0,0,0,0,27,"40,3",0,45,"67,16"
6104080002003000,RT 003 RW 005 DUSUN PANGSUMA,67,37,"55,22",8,1,"1,49",0,0,0,0,27,"40,3",0,45,"67,16"
61040800020031,RT 004 RW 005 DUSUN PANGSUMA,48,28,"58,33",5,3,"6,25",0,0,0,0,17,"35,42",0,33,"68,75"
6104080002003100,RT 004 RW 005 DUSUN PANGSUMA,48,28,"58,33",5,3,"6,25",0,0,0,0,17,"35,42",0,33,"68,75"
61040800020032,RT 005 RW 005 DUSUN PANGSUMA,71,50,"70,42",6,2,"2,82",0,0,0,0,19,"26,76",0,56,"78,87"
6104080002003200,RT 005 RW 005 DUSUN PANGSUMA,71,50,"70,42",6,2,"2,82",0,0,0,0,19,"26,76",0,56,"78,87"
61040800020033,RT 001 RW 007 DUSUN PANGSUMA,97,65,"67,01",6,0,0,0,0,0,0,15,"15,46",0,71,"73,2"
6104080002003300,RT 001 RW 007 DUSUN PANGSUMA,97,65,"67,01",6,0,0,0,0,0,0,15,"15,46",0,71,"73,2"
61040800020034,RT 002 RW 007 DUSUN PANGSUMA,96,0,0,0,1,"1,04",0,0,0,0,4,"4,17",0,0,0
6104080002003400,RT 002 RW 007 DUSUN PANGSUMA,96,0,0,0,1,"1,04",0,0,0,0,4,"4,17",0,0,0
