Tabel,Kolom,DataKey,Urutan,Blok,Nomor Rincian,Label,Tipe,Keterangan
tgr_fd68e454.se2026_nested,klasifikasi_value,klasifikasi,172,SE2026 - L BLOK II,13,"i. Jika usaha/perusahaan merupakan akomodasi jangka pendek, apa klasifikasi usaha/perusahaan ini?",Radio Group,
tgr_fd68e454.se2026_nested,jaringan_label,jaringan,173,SE2026 - L BLOK II,14,a. Apa jaringan usaha dari usaha/perusahaan ini?,Radio Group,
tgr_fd68e454.se2026_nested,jaringan_value,jaringan,173,SE2026 - L BLOK II,14,a. Apa jaringan usaha dari usaha/perusahaan ini?,Radio Group,
tgr_fd68e454.se2026_nested,jumlah_kc,jumlah_kc,174,SE2026 - L BLOK II,14,b. Berapa jumlah seluruh kantor cabang dan unit usaha yang berada di bawah kantor pusat?,Number,
tgr_fd68e454.se2026_nested,nama_kp,nama_kp,175,SE2026 - L BLOK II,15,a. Nama Kantor Pusat,Text Input,
tgr_fd68e454.se2026_nested,alamat_kp,alamat_kp,176,SE2026 - L BLOK II,15,b. Alamat Kantor Pusat,Text Area,
tgr_fd68e454.se2026_nested,email_kp,email_kp,177,SE2026 - L BLOK II,15,c. Email,Text Input,
tgr_fd68e454.se2026_nested,negara_kp_label,negara_kp,178,SE2026 - L BLOK II,15,d. Negara,Select,
tgr_fd68e454.se2026_nested,negara_kp_value,negara_kp,178,SE2026 - L BLOK II,15,d. Negara,Select,
tgr_fd68e454.se2026_nested,prov_kp_label,prov_kp,179,SE2026 - L BLOK II,15,e. Provinsi,Select,
tgr_fd68e454.se2026_nested,prov_kp_value,prov_kp,179,SE2026 - L BLOK II,15,e. Provinsi,Select,
tgr_fd68e454.se2026_nested,kab_kp_label,kab_kp,180,SE2026 - L BLOK II,15,f. Kabupaten/Kota,Select,
tgr_fd68e454.se2026_nested,kab_kp_value,kab_kp,180,SE2026 - L BLOK II,15,f. Kabupaten/Kota,Select,
tgr_fd68e454.se2026_nested,internet_label,internet,181,SE2026 - L BLOK II,16,a. Apakah usaha/perusahaan ini menggunakan internet dalam menjalankan usaha?,Radio Group,
tgr_fd68e454.se2026_nested,internet_value,internet,181,SE2026 - L BLOK II,16,a. Apakah usaha/perusahaan ini menggunakan internet dalam menjalankan usaha?,Radio Group,
tgr_fd68e454.se2026_nested,internet_produksi_label,internet_produksi,182,SE2026 - L BLOK II,16,b2. Produksi barang/jasa,Radio Group,
tgr_fd68e454.se2026_nested,internet_produksi_value,internet_produksi,182,SE2026 - L BLOK II,16,b2. Produksi barang/jasa,Radio Group,
tgr_fd68e454.se2026_nested,internet_pesanan_label,internet_pesanan,183,SE2026 - L BLOK II,16,b1. Menerima pesanan barang/jasa,Radio Group,
tgr_fd68e454.se2026_nested,internet_pesanan_value,internet_pesanan,183,SE2026 - L BLOK II,16,b1. Menerima pesanan barang/jasa,Radio Group,
tgr_fd68e454.se2026_nested,internet_distribusi_label,internet_distribusi,184,SE2026 - L BLOK II,16,b3. Distribusi barang/jasa,Radio Group,
tgr_fd68e454.se2026_nested,internet_distribusi_value,internet_distribusi,184,SE2026 - L BLOK II,16,b3. Distribusi barang/jasa,Radio Group,
tgr_fd68e454.se2026_nested,internet_beli_label,internet_beli,185,SE2026 - L BLOK II,16,b4. Membeli bahan baku online,Radio Group,
tgr_fd68e454.se2026_nested,internet_beli_value,internet_beli,185,SE2026 - L BLOK II,16,b4. Membeli bahan baku online,Radio Group,
tgr_fd68e454.se2026_nested,internet_promosi_label,internet_promosi,186,SE2026 - L BLOK II,16,b5. Promosi,Radio Group,
tgr_fd68e454.se2026_nested,internet_promosi_value,internet_promosi,186,SE2026 - L BLOK II,16,b5. Promosi,Radio Group,
tgr_fd68e454.se2026_nested,internet_lainnya_label,internet_lainnya,187,SE2026 - L BLOK II,16,b6. Lainnya,Radio Group,
tgr_fd68e454.se2026_nested,internet_lainnya_value,internet_lainnya,187,SE2026 - L BLOK II,16,b6. Lainnya,Radio Group,
tgr_fd68e454.se2026_nested,digital_label,digital,188,SE2026 - L BLOK II,16,"c. Apakah usaha/perusahaan ini memanfaatkan teknologi digital Aritifical Intelligence (AI), Internet of Things (IoT), big data, printer 3D, blockchain, atau cloud computing ?",Radio Group,
